title,description,published date,url,publisher
寧德時代向國際承銷商增發逾2000萬股H股 - 香港電台新聞主頁,寧德時代向國際承銷商增發逾2000萬股H股  香港電台新聞主頁維權投資者David Webb警告寧德時代H股流通股數量過低  Yahoo 財經《輪動華泰》上日最多資金追寧德購 留意全新寧德購16784  AASTOCKS.com寧德時代3750｜寧王衝破330元 大行齊唱好 H股溢價達10% 基金仍未追夠  香港經濟日報HKET港股高開54點 恒指報23736點  news.tvb.com,"Wed, 21 May 2025 01:58:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE9XOF8wR2Q3VDhHb2E1Y3JEMW81Ykk4TktTLUU4eHBpdW9PcnFSUDJvT19zOWt4SnRzdnBmMTVzN3dXcTlmd3VvMl95V0FyNmwwOXk2Ymk4ZUhQT01tVzRyWVNha2lyekh6SXRYcW02WQ?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://news.rthk.hk', 'title': '香港電台新聞主頁'}"
美國全球封殺華為AI晶片 中國商務部回應！ - Yahoo 財經,美國全球封殺華為AI晶片 中國商務部回應！  Yahoo 財經[深度] 馬來西亞對華為晶片態度驟冷 中美AI暗戰初露崢嶸  Yahoo 財經中國強硬放話：配合美國封殺華為者 將遭法律制裁  AASTOCKS.com北京：美國擬全球禁用中國晶片 協助執行將涉違反反外國制裁法  香港電台新聞主頁王毅會見美國亞洲協會會長康京和  news.tvb.com,"Wed, 21 May 2025 02:03:26 GMT",https://news.google.com/rss/articles/CBMirgJBVV95cUxOME5iWUYzaC1tODlndWZHRndocjVkSm83cnZyUUlWWWlJRW04MUFEcmVGb3d3N1dUcWkwUW9ub3daMFpBUlZvUkt1MTJyUmVDb3pTc2NrN1FqLXZiVGs1cUpkT1R2X1VPVmg1SGNJVmxvbFBJXzFiMHNhcHFWeVlmX3dJcjJIYl9TcFpweUNIeU9LazJ3MmdPRXpyeGNQNHY0Z0hHZGlDSEJteGVBSmJjMDUzTUFFT2o1TF9lN1gtTEpYdUJzX3VrczlERkNVWlFVdThFaXEtT3dhZzdhODJIckF3Q3dEVTlsaElfZVE4ejJTdWtQaU1kcjJjbDNlUzFySnc5LU9mcVZMX2VEeUtaMm5RNUotOUJPcmI0Ump6QVBGd0Z3dVhncWZ5eXE2dw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
黃仁勳：美國對中國AI晶片出口管制是失敗 - Yahoo 財經,黃仁勳：美國對中國AI晶片出口管制是失敗  Yahoo 財經持續深耕中國英偉達稱正在上海租用新辦公空間- 數字經濟- 香港文匯網  香港文匯網黃仁勳：假如美國不解除禁令 中國企業將會買更多的華為AI晶片  香港01【Nvidia在華份額降】黃仁勳:美對中國AI晶片出口管制是失敗  Now 新聞黃仁勳談AI擴散規則、中國市場與晶片出口管制：訪談內容節錄美股US Stocks Quote - 外圍新聞內容Golbal News Content  AASTOCKS.com,"Wed, 21 May 2025 03:08:16 GMT",https://news.google.com/rss/articles/CBMirgJBVV95cUxQT195bkV1ZERuSnU2M0VVbzBCYXBQbUE5dUdpRVFEOEJjb09WS09icVE0Y01uS0sxYkROdUpDUExEME83bmZqdkRvUVZQQXVieVEzYXdTWF9ZZk1LNFBQNTVOcUVFMWVndVZXODlSdFN3NlFVX0l2MVR4eFFSalkzQXNaWjdKajR0U0hwYXdMb0tZODNmUHJENExBWGZDWnlsOTR3NmR1V1l4N3dXOE54LUdQb09mTVQ3T1M0THVEc0o1cmFmS2NKSGhBTEx0QTBlcktlcjYzTmxRNE4yaWdYYkRwbzFjY1BaczdRYmxGMldLeFF2UnJyNTlqbDEyeVZfbjhnOTBsN0YyOG5DS3A4TG5GVnFuZEptQ0tHVjhwYVAydG8xalJ2d29nRUtZUQ?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
港元1個月拆息跌穿1厘 3年低 高盛：樓市受惠低息 上調明後兩年樓價目標 - 20250521 - 經濟 - 明報新聞網,港元1個月拆息跌穿1厘 3年低 高盛：樓市受惠低息 上調明後兩年樓價目標 - 20250521 - 經濟  明報新聞網3及6個月定存息失守2厘  Yahoo 財經港元接近弱方兌換保證水平 交易員在套利交易中賣出  AASTOCKS.com一個月HIBOR跌至0.76厘 經絡：料HIBOR有機會試穿0.5厘水平  地產站港元一個月拆息續跌至0.76厘  Hkej.com,"Tue, 20 May 2025 20:26:15 GMT",https://news.google.com/rss/articles/CBMi9ANBVV95cUxONkpfeC1xLTFDUHV2emtGODJfcko2THp1azBSS29lbUhjMHpNQnJzd2NOVzU0ajhaendaU2hJVVo0T2hfR3RFZEtMMkZnNm95T1N1Rl80ajlDVGM0N3k4TE5RZEExblRvRjdhRUYtSWJSS1NWOFVDNC1CQ0xfUUdwdzc0Z0hUY003X1RpcEFONktPVHJNVHVaZ3Jma0VmUnZHV3ZmQTJXZGdSX19mcmtzX1Ztc3Vjd244TzNUbENkUlJfWUJuQmxSU2hMRGliTHNsTkhQNVJIWTkyVlB1QkJmQ1BWUV9ncUJkRUdJSk8yc3dqRnFFc3dic0VtSGF6ZE5UX0pzY1NmcE95blA1VS1KNzlYMzBzSW5VMjFvbGxualhVOXE5UC1aZmU0WjF6bEkwYUNrMV84OXYzSDV3S1JEVFdDenpqV2JXVWR6ZTVOYUZNREwwdlBjcjZIV3RSNGRtSERQOHhncG96ekFMMDBuZW1vU2kzMWd6WXN3TkhzRnYwdVBIcXNXRC03cUU5ZFhlcThsMnpmVV8ya3V0Q1RqZ2NWV1NnaG9Za0VnaXNjUmstc3NhTmdCbGZnM0sycHlVc0JmSUREX0oxNFpFd1hkOGR2SmUwa2M2Ym5UdXY4NEc4MGZmLXN6dEthaXhjTU1GZk84aA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://news.mingpao.com', 'title': '明報新聞網'}"
美政府債風險猶如「灰犀牛」 - Hkej.com,美政府債風險猶如「灰犀牛」  Hkej.com穆迪下調美國信用評級 為香港基金美債持倉敲響警鐘  Yahoo 財經HSI新危機〡美債又崩了 都是特朗普的錯？  香港經濟日報HKET美國信貸評級機構| 時事通識  news.tvb.com主權降級後連鎖反應 穆迪下調美國主要銀行存款評級至Aa2  AASTOCKS.com,"Tue, 20 May 2025 18:24:11 GMT",https://news.google.com/rss/articles/CBMiygJBVV95cUxOcnhqZ1c2ZTF0bVNFc25rWGpGZDZLOGdGajM1cERZTExWSmwzR1FoZUVZb1phd0c4dl84VGU0T3AwaWwzZjVMMWpVVDZTNzJ5a1J2WG9raHpVRHNOcklsQVBxcXVCNnBaVFZkVXJicExuX210LXlZeXBYeG5USGRaZzJuT1k0S04zY3JqOFFwQzlFbDJqMEZpQ0M0bGpDYzZEcnVFOVd6VlNZSkcxd2UxdVpaS25uMTVDYVp2UVJYRklmSGdJUmM3cWZZb3FSUXRkT3d4eDBTTzJnNmpVUjhMX3NrNFhEU0JOdFZVMmhvWkNQMmxUeWNmV3B6NVZYRGFnQTZhdGZlQmlRbDBGaUh3c3B2d1hKV243UmY1czUtU29OanZfYnQyeUNXLWdCYVRsMGxiZ3I1aU5MT05BNExpOElXemxuaTJvbmc?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://www1.hkej.com', 'title': 'Hkej.com'}"
馬斯克：將大幅減少政治支出 未來五年繼續擔任特斯拉行政總裁 - 香港電台新聞主頁,馬斯克：將大幅減少政治支出 未來五年繼續擔任特斯拉行政總裁  香港電台新聞主頁馬斯克：特斯拉(TSLA.US)銷售良好Starlink未來有可能上市財經新聞Financial News  AASTOCKS.com馬斯克:5年內續擔任特斯拉行政總裁  Hkej.com馬斯克稱將「大幅減少」政治捐款 重心拉回企業經營  Yahoo 財經開市Go｜馬斯克減參政，歐日加入圍堵中國電商，美圖引入阿里  香港經濟日報HKET,"Wed, 21 May 2025 03:47:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE5pSmEtTEZkaHg3MUtWT2t1bl9nRGJILUVnOFEwOVp1R2JWMndFb2lPZ3hYRkw5RG5aQ19hTFpOMEFmLVlKLW5XRG1KSG91T0xoUWttSjIxR3NvcUV4cTl3SGpZSHdWQ19vS2ZCX2Z6MA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://news.rthk.hk', 'title': '香港電台新聞主頁'}"
寧德時代首掛 中午收報307.6元 每手帳面暫賺4460元 - Yahoo 財經,寧德時代首掛 中午收報307.6元 每手帳面暫賺4460元  Yahoo 財經寧德時代首掛 收報306.2元 每手帳面賺4320元  Yahoo 財經陳茂波：港交所科企專線接獲大量查詢 發揮預期效果 - RTHK  香港電台新聞主頁港交所CEO陳翊庭：年初至今上市申請近100宗當中不乏龍頭企業財經新聞Financial News  AASTOCKS.com寧德時代悉數行使超額配股權  Hkej.com,"Tue, 20 May 2025 04:07:30 GMT",https://news.google.com/rss/articles/CBMiwwJBVV95cUxPZ2pJbWhveFBSclcxbXJ5N0Q5TFJaRkxZTFB1cDZOR1RtN09sbklsd0o3SzgyRzJQV0lRdHo5TUlvNE5oVGhFUnRnZDh0dC1US3ZLdDRaaVpaTG15eE43YlZIZjdLbWN2cmRrajE1WWJlbHJCdHlDSmlCelJ1Y0pWUXRaSTBjeXVUeWlmV3ctajJWSzVnaHRfUVV2QzE5VEFGRzJsUGtmYy0wRHB5R0Q3NEhsQl9Da1RTZTVuejl0UHZxQVpadFpadGYyTUdPZTdaN2R0aFlnSzlqU1gwRXVjR3N6Q2pFSkIyc0lqUGhQUUlnNDBNWWtfc3AtS1FQODktMm1hQTM3Nk1WNHpBOVAtTExyUWN4cVlES2JQU3BON1hkVVVWbUF0N3ZZQ0RXaWZhUXVNa3FINmM5eW1KMjFpbTg2aw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
港失業率3.4%兩年高 恐續升 多6600人丟飯碗 建造餐飲業重災 - Yahoo 財經,港失業率3.4%兩年高 恐續升 多6600人丟飯碗 建造餐飲業重災  Yahoo 財經失業率上升 工聯會促及時檢討調整各項輸入外勞計劃  香港電台新聞主頁信報即時新聞 - 香港財經 - 本港失業率升至3.4%  Hkej.com最新失業率升至3.4% 建造住宿餐飲及金融4行業重災  on.cc東網孫玉菡反駁有評論將個別行業失業情況與輸入勞工扯上關係  Now 新聞,"Tue, 20 May 2025 23:58:35 GMT",https://news.google.com/rss/articles/CBMinwJBVV95cUxPMGxhbGhSaGhJS1FvU1VQR3k0UXZwbDhTVzJ4TnZ4UnAyTFpEeU96WktTNjhnSnBrOVNWZm0xejAzbE9Ba05ZT0F3M3ExZ0NIMHN4RGVoY0RncFlDd3ZZQ0VpaVhndWgwODFaZGJEclA4SWVoVGxIMHFDMHF2QWhKX3JFVExpa0tnSldJRlRrNUgwTVoxWWdnZG1hR0pmQzlCUC10Qld0YmtpVDkzSzdseHpQTHZpUmtLcXZSSkR2Q2s2NHNwdTgyb29kQkRibWhoYzBKbWp0dmJYb201ZlVLa3VwQ19ReXJOaTZxdnJrbk9YU1BxUHRSdkE0UzY4OHZSMzBsNkdRbHFFMTZXdVhXNUNyeFpQZGY1VDhsSUEzbw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://hk.finance.yahoo.com', 'title': 'Yahoo 財經'}"
Google 開放升級 Android 16 ！首批 16 款支援手機出爐 - 自由電子報3C科技,Google 開放升級 Android 16 ！首批 16 款支援手機出爐  自由電子報3C科技Google決心變革重塑搜索業務商業模式  Yahoo 財經Google推出全新「AI模式」搜尋！迎戰ChatGPT與生成式AI美股 US Stocks Quote - 外圍新聞內容Golbal News Content  AASTOCKS.com信報即時新聞 - 國際財經 - 谷歌年度開發者大會力推多項AI產品  Hkej.comGoogle I/O｜Google最新影片和圖像生成新模型Veo 3和Imagen 4面世同步發表AI製片新工具Flow  香港經濟日報HKET,"Tue, 20 May 2025 21:28:00 GMT",https://news.google.com/rss/articles/CBMiR0FVX3lxTE1YdkFUYk9IM1RPT0Rub1g5NkxKcVREWFQ5VWQta3ZNeWJ5TERoakdjZTc3YjZXZ2JRM0M2UWFZNWstSFhwWldj0gFMQVVfeXFMUEhWaDkxVmRCT2YxSVFmWHA4Q2h6aGdPUXd3blA3RUtwdHZGdnM2SDVwenBJc2FxakhWU2tlVWV3QlU0S2ROVURDeER1Tw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://3c.ltn.com.tw', 'title': '自由電子報3C科技'}"
全球央行3月搶購64噸黃金 高盛明年金價上望... - on.cc東網,全球央行3月搶購64噸黃金 高盛明年金價上望...  on.cc東網紐約期金高收近1.6%  香港電台新聞主頁亞洲央行降息推升股市避險需求減弱 黃金價格受壓回落  Yahoo 財經特朗普減税法案不確定性刺激避險黃金需求  AASTOCKS.com中東局勢緊張 刺激金價亞洲市升穿3300美元一盎司  news.tvb.com,"Mon, 19 May 2025 09:49:55 GMT",https://news.google.com/rss/articles/CBMijwFBVV95cUxQUkpqOFUwVmo1Zmh1VTZieEFzSlUyVEQ4MUttTW9ycTh0bTBuRlp5cVN6QnpyUlhuWWR1OWZmQzNBdFJPQU9qTkwzZFIzb3JYUF81T2FMZ0FSRjkwMTdvYTBpRHJ1TDFBVEhUZktqVExGZ1VfVWtpdHNfZ0tZcFh1UG42MkwxZ1B5RzVobEhVZw?oc=5&hl=en-GB&gl=GB&ceid=GB:en,"{'href': 'https://hk.on.cc', 'title': 'on.cc東網'}"
